id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
16876317,2016/05/14 4:42 PM MSK,2016-05-14,2016-05-14 13:42:00 +0000,Moscow,1160263,entomokot,Konstantin,2018-09-24 18:04:37 +0000,2020-04-28 19:52:17 +0000,needs_id,,https://www.inaturalist.org/observations/16876317,https://static.inaturalist.org/photos/25489582/medium.jpg,,"",,1,0,false,,"Воскресенский р-н, Московская обл., Россия",55.5028380541,38.6930504012,484,,,,484,,,false,,,,Orekhovo-Zuevskiy rayon,,Russia,Moskva,Orekhovo-Zuevskiy rayon,morels,Distantes,Сморчок высокий,Fungi,1062676,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Morchellaceae,,,,,Morchella,,,,,,
16876320,2016/05/14 4:48 PM MSK,2016-05-14,2016-05-14 13:48:00 +0000,Moscow,1160263,entomokot,Konstantin,2018-09-24 18:04:38 +0000,2021-03-08 06:06:43 +0000,needs_id,,https://www.inaturalist.org/observations/16876320,https://static.inaturalist.org/photos/25489619/medium.jpg,,"",,0,0,false,,"Орехово-Зуевский р-н, Московская обл., Россия",55.5105274053,38.7103598044,101,,,,101,,,false,,,,Orekhovo-Zuevskiy rayon,,Russia,Moskva,Orekhovo-Zuevskiy rayon,Flower Jumping Spider,Attulus floricola,,Arachnida,1070919,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,,Sitticini,,Attulus,,Attulus floricola,,,,
25788653,2019-05-26 8:26:00 ДП GMT+02:00,2019-05-26,2019-05-26 04:26:00 +0000,Pretoria,1265317,bio_4you,,2019-05-26 05:27:29 +0000,2021-10-23 21:35:11 +0000,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/25788653,https://inaturalist-open-data.s3.amazonaws.com/photos/39981230/medium.jpeg,,"",,3,1,false,2,"Unnamed Road, Московская обл., Россия, 140221",55.496630456,38.679101578,8,,,,8,,,false,,,,Voskresenskiy rayon,,Russia,Moskva,Voskresenskiy rayon,Zipfelkäfer,Malachiinae,Малашки,Insecta,373470,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cleroidea,Melyridae,Malachiinae,,,,,,,,,,
25928353,2019-05-28 8:48:04 ДП GMT+02:00,2019-05-28,2019-05-28 06:48:04 +0000,Africa/Johannesburg,1265317,bio_4you,,2019-05-28 05:48:37 +0000,2019-12-29 13:44:40 +0000,research,CC-BY-NC,https://www.inaturalist.org/observations/25928353,https://inaturalist-open-data.s3.amazonaws.com/photos/40216550/medium.jpeg,,"",,1,0,false,2,"Unnamed Road, им. Цюрупы, Московская обл., Россия, 140221",55.5030154019,38.6705696821,3,,,,3,,,false,,,,Voskresenskiy rayon,,Russia,Moskva,Voskresenskiy rayon,Ольха чёрная,Alnus glutinosa,Ольха чёрная,Plantae,966205,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,Betulaceae,,,,,Alnus,,Alnus glutinosa,,,,
25928360,2019-05-28 8:49:26 ДП GMT+02:00,2019-05-28,2019-05-28 06:49:26 +0000,Africa/Johannesburg,1265317,bio_4you,,2019-05-28 05:49:18 +0000,2019-05-28 05:57:34 +0000,research,CC-BY-NC,https://www.inaturalist.org/observations/25928360,https://inaturalist-open-data.s3.amazonaws.com/photos/40216564/medium.jpeg,,"",,1,0,false,2,"Unnamed Road, им. Цюрупы, Московская обл., Россия, 140221",55.4983947,38.6695491,3700,,,,3700,,,false,,,,Voskresenskiy rayon,,Russia,Moskva,Voskresenskiy rayon,Germander Speedwell,Veronica chamaedrys,Вероника дубравная,Plantae,51610,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,,Veroniceae,,Veronica,,Veronica chamaedrys,,,,
25928393,2019-05-25 9:28:12 ДП GMT+02:00,2019-05-25,2019-05-25 07:28:12 +0000,Africa/Johannesburg,1265317,bio_4you,,2019-05-28 05:50:52 +0000,2019-05-28 05:57:30 +0000,research,CC-BY-NC,https://www.inaturalist.org/observations/25928393,https://inaturalist-open-data.s3.amazonaws.com/photos/40216631/medium.jpeg,,"",,1,0,false,2,"Unnamed Road, им. Цюрупы, Московская обл., Россия, 140221",55.5025885843,38.6704846952,2,,,,2,,,false,,,,Voskresenskiy rayon,,Russia,Moskva,Voskresenskiy rayon,European lily of the valley,Convallaria majalis,Ландыш майский,Plantae,48206,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Nolinoideae,,Convallarieae,,Convallaria,,Convallaria majalis,,,,
25928408,2019-05-25 9:54:01 ДП GMT+02:00,2019-05-25,2019-05-25 07:54:01 +0000,Africa/Johannesburg,1265317,bio_4you,,2019-05-28 05:51:31 +0000,2019-05-28 05:57:26 +0000,research,CC-BY-NC,https://www.inaturalist.org/observations/25928408,https://inaturalist-open-data.s3.amazonaws.com/photos/40216659/medium.jpeg,,"",,1,0,false,2,"Voskresenskiy rayon, RU-MS, RU",55.502422393,38.6709266701,3,,,,3,,open,false,,,,Voskresenskiy rayon,,Russia,Moskva,Voskresenskiy rayon,pedunculate oak,Quercus robur,Дуб черешчатый,Plantae,56133,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,Fagaceae,,,,,Quercus,,Quercus robur,,,,
25928425,2019-05-25 10:58:01 ДП GMT+02:00,2019-05-25,2019-05-25 08:58:01 +0000,Africa/Johannesburg,1265317,bio_4you,,2019-05-28 05:52:29 +0000,2019-05-28 05:59:35 +0000,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/25928425,https://inaturalist-open-data.s3.amazonaws.com/photos/40216691/medium.jpeg,,"",,2,0,false,2,"Unnamed Road, им. Цюрупы, Московская обл., Россия, 140221",55.5021103886,38.6718147462,2,,,,2,,open,false,,,,Voskresenskiy rayon,,Russia,Moskva,Voskresenskiy rayon,Slippery Jacks,Suillus,Маслёнок,Fungi,53490,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Boletales,Suillineae,,Suillaceae,,,,,Suillus,,,,,,
25928453,2019-05-25 9:58:08 ДП GMT+02:00,2019-05-25,2019-05-25 07:58:08 +0000,Africa/Johannesburg,1265317,bio_4you,,2019-05-28 05:53:49 +0000,2019-05-28 05:57:21 +0000,research,CC-BY-NC,https://www.inaturalist.org/observations/25928453,https://inaturalist-open-data.s3.amazonaws.com/photos/40216752/medium.jpeg,,"",,1,0,false,2,"Unnamed Road, им. Цюрупы, Московская обл., Россия, 140221",55.5015484659,38.6723868557,2,,,,2,,,false,,,,Voskresenskiy rayon,,Russia,Moskva,Voskresenskiy rayon,common mugwort,Artemisia vulgaris,Полынь обыкновенная,Plantae,52856,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Anthemideae,Artemisiinae,Artemisia,,Artemisia vulgaris,,,,
25934049,2019-05-28 2:23:28 ПП GMT+03:00,2019-05-28,2019-05-28 11:23:28 +0000,Baghdad,1663057,naturalist11373,фёдор маркин,2019-05-28 11:24:08 +0000,2019-06-05 14:43:02 +0000,research,,https://www.inaturalist.org/observations/25934049,https://static.inaturalist.org/photos/40414607/medium.jpeg,,"",,1,0,false,2,"Московская обл., Россия, 140221",55.492765,38.6319862,2000,,,,2000,,,false,,,,Voskresenskiy rayon,,Russia,Moskva,Voskresenskiy rayon,Ландыш майский,Convallaria majalis,Ландыш майский,Plantae,48206,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Nolinoideae,,Convallarieae,,Convallaria,,Convallaria majalis,,,,
